SUBJECT	Coursecode	GRADING_BASIS_ENRL	Gender	AGE	YearSchool	COMP_ACT_SCORE	URM	msl01	msl02	msl03	msl04	msl05	msl06	msl07	msl08	msl09	msl10	msl11	msl12	msl13	msl14	msl15	msl16	msl17	msl18	msl19	msl20	Exams_percent	Course_percent	NonExam_percent	ZExams_percent	ZCourse_percent	ZNonExam_percent
BIOL	1001.1	A-F	0	20	Sophomore	25	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	1	20	Freshman	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.544416667	0.6876	0.830783333	-1.765844295	-2.031303632	-1.3814051
BIOL	1001.1	A-F	0	20	Sophomore	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.707	0.7928	0.8786	-0.46519314	-0.761762641	-0.811545724
BIOL	1001.1	A-F	0	20	Sophomore	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.730583333	0.8342	0.937816667	-0.276528725	-0.262152403	-0.105825836
BIOL	1001.1	A-F	1	20	Junior	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.786166667	0.8968	1.007433333	0.168132645	0.493296894	0.723836964
BIOL	1001.1	A-F	0	20	Sophomore	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.854166667	0.917	0.979833333	0.712126158	0.737068073	0.394911512
BIOL	1001.1	A-F	0	20	Sophomore	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.875	0.9503	1.0256	0.878790835	1.138928482	0.940339831
BIOL	1001.1	A-F	0	20	Non-degree	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	1	20	Sophomore	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.67775	0.8258	0.97385	-0.699190349	-0.363522596	0.32360461
BIOL	1001.1	A-F	1	20	Sophomore	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.856916667	0.9194	0.981883333	0.734125896	0.766030985	0.419342569
BIOL	1001.1	A-F	0	20	Junior	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.858333333	0.9218	0.985266667	0.745459089	0.794993897	0.459663753
BIOL	1001.1	A-F	1	20	Sophomore	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.863916667	0.9334	1.002883333	0.790125228	0.934981307	0.669611934
BIOL	1001.1	A-F	1	20	Junior	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.89025	0.9132	0.93615	1.00078938	0.691210128	-0.125688488
BIOL	1001.1	A-F	1	20	Sophomore	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.988916667	1.0012	1.013483333	1.790113304	1.753183581	0.795938376
BIOL	1001.1	A-F	0	20	Junior	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.675	0.8405	1.006	-0.721190087	-0.186124758	0.70675509
BIOL	1001.1	S-N	0	20	Sophomore	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.695833333	0.8521	1.008366667	-0.55452541	-0.046137349	0.734960054
BIOL	1001.1	A-F	0	20	Sophomore	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.82225	0.9202	1.01815	0.456795867	0.775685289	0.851553794
BIOL	1001.1	A-F	1	20	Sophomore	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.836083333	0.9316	1.027116667	0.567461211	0.913259123	0.958414845
BIOL	1001.1	S-N	0	20	Senior	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.838916667	0.8723	0.905683333	0.590127613	0.19763383	-0.488777698
BIOL	1001.1	A-F	0	20	Sophomore	28	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.826416667	0.8724	0.918383333	0.490128805	0.198840618	-0.33742432
BIOL	1001.1	A-F	0	20	Freshman	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.827833333	0.8422	0.856566667	0.501461998	-0.165609362	-1.074129927
BIOL	1001.1	A-F	1	20	Freshman	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.855583333	0.9254	0.995216667	0.723459351	0.838438266	0.578243762
BIOL	1001.1	A-F	1	20	Sophomore	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.861083333	0.9467	1.032316667	0.767458826	1.095484113	1.020386306
BIOL	1001.1	A-F	1	20	Freshman	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.86525	0.9212	0.97715	0.800791765	0.787753169	0.362932653
BIOL	1001.1	A-F	0	20	Junior	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.693083333	0.7679	0.842716667	-0.576525148	-1.062252857	-1.239188532
